r,overlap_GLC,overlap_BG
1.97239e-05,3.28201e-05,4.50611e-05
1.99663e-05,3.31789e-05,4.55541e-05
2.02118e-05,3.35414e-05,4.60524e-05
2.04603e-05,3.39079e-05,4.6556e-05
2.07118e-05,3.42784e-05,4.70651e-05
2.09664e-05,3.46528e-05,4.75796e-05
2.12241e-05,3.50312e-05,4.80997e-05
2.14851e-05,3.54137e-05,4.86254e-05
2.17492e-05,3.58004e-05,4.91567e-05
2.20165e-05,3.61911e-05,4.96938e-05
2.22872e-05,3.65861e-05,5.02366e-05
2.25612e-05,3.69853e-05,5.07853e-05
2.28385e-05,3.73888e-05,5.13398e-05
2.31193e-05,3.77967e-05,5.19003e-05
2.34035e-05,3.82089e-05,5.24669e-05
2.36912e-05,3.86255e-05,5.30395e-05
2.39824e-05,3.90466e-05,5.36183e-05
2.42773e-05,3.94722e-05,5.42033e-05
2.45757e-05,3.99024e-05,5.47946e-05
2.48778e-05,4.03372e-05,5.53922e-05
2.51837e-05,4.07767e-05,5.59962e-05
2.54932e-05,4.12208e-05,5.66067e-05
2.58066e-05,4.16697e-05,5.72238e-05
2.61239e-05,4.21235e-05,5.78475e-05
2.6445e-05,4.2582e-05,5.84778e-05
2.67701e-05,4.30455e-05,5.9115e-05
2.70992e-05,4.3514e-05,5.97589e-05
2.74324e-05,4.39875e-05,6.04098e-05
2.77696e-05,4.4466e-05,6.10676e-05
2.8111e-05,4.49496e-05,6.17324e-05
2.84565e-05,4.54385e-05,6.24044e-05
2.88064e-05,4.59325e-05,6.30836e-05
2.91605e-05,4.64318e-05,6.377e-05
2.9519e-05,4.69365e-05,6.44638e-05
2.98818e-05,4.74466e-05,6.5165e-05
3.02492e-05,4.79621e-05,6.58737e-05
3.06211e-05,4.84831e-05,6.659e-05
3.09975e-05,4.90096e-05,6.73139e-05
3.13785e-05,4.95418e-05,6.80456e-05
3.17643e-05,5.00797e-05,6.87851e-05
3.21548e-05,5.06233e-05,6.95325e-05
3.25501e-05,5.11727e-05,7.02878e-05
3.29502e-05,5.17279e-05,7.10513e-05
3.33553e-05,5.22891e-05,7.18228e-05
3.37653e-05,5.28563e-05,7.26026e-05
3.41804e-05,5.34294e-05,7.33908e-05
3.46006e-05,5.40087e-05,7.41873e-05
3.50259e-05,5.45942e-05,7.49923e-05
3.54565e-05,5.51859e-05,7.58059e-05
3.58924e-05,5.57839e-05,7.66282e-05
3.63336e-05,5.63883e-05,7.74593e-05
3.67803e-05,5.69991e-05,7.82991e-05
3.72324e-05,5.76164e-05,7.9148e-05
3.76902e-05,5.82402e-05,8.00059e-05
3.81535e-05,5.88707e-05,8.08729e-05
3.86225e-05,5.95079e-05,8.17491e-05
3.90973e-05,6.01518e-05,8.26346e-05
3.95779e-05,6.08026e-05,8.35296e-05
4.00645e-05,6.14603e-05,8.44341e-05
